JENIS,NOFAKTUR,TGL,NOSO,TUTUPSO,JATUHTEMPO,KODECUSTOMER,NAMACUSTOMER,ALAMATCUSTOMER,KODESALESMAN,NAMASALESMAN,KODEGUDANG,NAMAGUDANG,KODEBARANG,NAMABARANG,QTY,HARGAJUAL,SATUANKECIL,PDISCOUNTITEM,PDISCOUNTITEM2,PDISCOUNTITEM3,DISCOUNTITEM,NETTO,KETERANGAN,KODESUPLIER,NAMASUPLIER
JUAL,261.005.418,11/05/2026 0:00,2605060123,T,,H.343,BAROS JAYA,JL.RH DIDI SUKARDI 156 SUKABUMI,H,YANSENG,1,GUDANG BAIK,2200139,Kingkong Wall Paint Super White 4.5Kg,40.00,"84,000.00",GLN,7.50,0.00,0.00,"252,000.00","3,108,000.00",,1,"INDOWIRA, PT"
JUAL,261.005.421,11/05/2026 0:00,2605080215,T,,H.733C,SUMBER USAHA,GUNUNG PUTRI,H,YANSENG,1,GUDANG BAIK,2104192,Wiratex Wall Paint Super White 5KG,40.00,"93,000.00",GL,7.50,0.00,0.00,"279,000.00","3,441,000.00",,1,"INDOWIRA, PT"
JUAL,261.005.421,11/05/2026 0:00,2605080215,T,,H.733C,SUMBER USAHA,GUNUNG PUTRI,H,YANSENG,1,GUDANG BAIK,2104113,Wiratex Wall Paint 806 Cream 25 KG,2.00,"435,000.00",PL,7.50,0.00,0.00,"65,250.00","804,750.00",,1,"INDOWIRA, PT"
JUAL,261.005.422,11/05/2026 0:00,2605070161,T,,N.966,CV.KARYA BAJA ESTETIKA,ARIA WIRATANU DATAR NO.25 RT.20 RW.003 MUKA CIANJUR,13,BU RINI,1,GUDANG BAIK,2100049,Adler Polyester Putty 3002  1 KG SET,36.00,"72,000.00",KL,0.00,0.00,0.00,0.00,"2,592,000.00",,1,"INDOWIRA, PT"
JUAL,261.005.423,11/05/2026 0:00,2605110237,T,,H.729,DUNIA BANGUNAN,JL.TUMENGGUNG WIRADIREJA RT.02 RW07 CIMAHFAR BOGOR UTARA,H,YANSENG,1,GUDANG BAIK,2103810,Shintex Cat Genteng 301 Black 4KG,4.00,"204,000.00",GLN,7.50,0.00,0.00,"61,200.00","754,800.00",,1,"INDOWIRA, PT"
JUAL,261.005.424,11/05/2026 0:00,2605110265,T,,D.131,SINAR MAS,TKI III D4 NO.17,D,WILLY,1,GUDANG BAIK,2104147,Wiratex Wall Paint Putih Salju 25 KG,5.00,"435,000.00",PL,7.50,0.00,0.00,"163,125.00","2,011,875.00",,1,"INDOWIRA, PT"
JUAL,262.000.613,11/05/2026 0:00,2605110236,T,,G.199,PULAU INDAH,JL.VETERAN PAMANUKAN,C,YONATHAN,1,GUDANG BAIK,2300024,Kingkong Wall Paint 126 Bali Gr 4.5KG,4.00,"84,000.00",GLN,7.50,0.00,0.00,"25,200.00","310,800.00",U/PENGGANTI TUKARAN,1,"INDOWIRA, PT"
JUAL,262.000.614,11/05/2026 0:00,2605110232,T,,K.323,TK.SINAR SURYA,JL.TERUSAN PASIR KOJA NO.108 A SEBELAH MATERIAL NANJUNG,R,SIMON QIRENE,1,GUDANG BAIK,2104937,Bonus Kuas,4.00,0.00,PCS,0.00,0.00,0.00,0.00,0.00,,1,"INDOWIRA, PT"
JUAL,262.000.614,11/05/2026 0:00,2605110232,T,,K.323,TK.SINAR SURYA,JL.TERUSAN PASIR KOJA NO.108 A SEBELAH MATERIAL NANJUNG,R,SIMON QIRENE,1,GUDANG BAIK,2104949,Bonus Roller,2.00,0.00,PCS,0.00,0.00,0.00,0.00,0.00,,1,"INDOWIRA, PT"
JUAL,262.000.615,11/05/2026 0:00,2605040041,T,,M.108,TISNA(OPLOSAN),,M,UMUM,1,GUDANG BAIK,2103145,Petalac Thinner PU  1 LTR,1.00,0.00,KL,0.00,0.00,0.00,0.00,0.00,,1,"INDOWIRA, PT"
